id,x,y,r,b
38,463.5,7.5,5.570925767134184,49.42735042735043
39,784.0,741.0,11.733244469220331,49.38888888888889
40,141.5,544.5,2.111004122822376,49.38095238095238
41,1421.0,18.5,11.40305171899516,49.144796380090504
42,1357.5,978.5,2.111004122822376,49.14285714285714
43,97.0,704.0,1.4927053303604616,48.666666666666664
44,1750.0,805.5,1.7841241161527712,48.625
45,970.0,1241.0,1.5957691216057308,48.42857142857142
46,1292.5,418.5,2.111004122822376,48.14285714285714
47,1439.5,461.5,7.203090409536582,48.09239130434783
48,1786.5,876.5,8.965112729988794,48.07168458781362
49,546.0,947.0,1.4927053303604616,48.0
50,386.5,319.5,2.111004122822376,47.95238095238095
51,468.5,803.5,2.111004122822376,47.904761904761905
52,1022.5,892.0,2.2917489221187703,47.83333333333333
53,37.0,520.0,1.4927053303604616,47.83333333333333
54,1021.5,178.5,2.111004122822376,47.76190476190476
55,393.5,582.5,2.111004122822376,47.71428571428571
56,614.5,514.5,2.111004122822376,47.666666666666664
57,775.5,529.5,2.111004122822376,47.57142857142857
58,977.5,728.5,1.8712051592547776,47.529411764705884
59,1395.5,1057.0,1.7841241161527712,47.5
60,228.0,1164.0,2.5231325220201604,47.46428571428571
61,1253.0,696.5,1.7841241161527712,47.4375
62,763.5,100.5,1.8712051592547776,47.411764705882355
63,215.5,1089.5,9.901487006738307,47.35311572700297
64,523.5,925.0,1.7841241161527712,47.25
65,773.0,580.5,8.42514715711158,47.20161290322581
66,924.5,302.5,2.111004122822376,47.19047619047619
67,1290.0,677.5,1.7841241161527712,47.0625
68,1269.5,176.5,1.9947114020071635,47.0
69,1718.5,730.5,2.111004122822376,46.904761904761905
70,1989.0,287.0,1.4927053303604616,46.75
71,1913.5,331.5,1.9947114020071635,46.73684210526316
72,1390.5,947.5,2.111004122822376,46.666666666666664
73,37.5,779.5,2.7925959628100285,46.57575757575758
74,158.5,159.5,2.111004122822376,46.52380952380952
75,1816.5,113.5,2.111004122822376,46.52380952380952
76,482.0,492.0,10.456550382613385,46.513368983957214
