id,x,y,r,b
96,1936.0,351.0,1.2615662610100802,608.1445922851562
97,1922.0,356.5,1.5957691216057308,1273.345947265625
98,1048.0,357.0,1.2615662610100802,195.91725158691406
99,922.5,363.5,1.9544100476116797,2020.6932373046875
100,1990.0,363.0,1.2615662610100802,654.7208251953125
101,1364.0,369.0,1.2615662610100802,674.3922119140625
102,492.0,376.5,2.256758334191025,2701.2353515625
103,1798.0,376.0,1.2615662610100802,306.59857177734375
104,1982.0,378.0,1.2615662610100802,701.3741455078125
105,2045.2,378.2,2.1850968611841584,2126.833740234375
106,1910.5,381.5,1.9544100476116797,1874.5269775390625
107,1940.0,381.5,1.5957691216057308,1258.9083251953125
108,1275.0,384.0,1.2615662610100802,220.00830078125
109,1897.0,383.5,1.5957691216057308,1587.8619384765625
110,586.5,387.0,2.256758334191025,2788.85302734375
111,470.0,394.0,1.2615662610100802,803.5202026367188
112,484.0,394.0,1.2615662610100802,615.5689697265625
113,1332.0,393.0,1.2615662610100802,411.9168395996094
114,915.0,396.5,1.5957691216057308,1307.3209228515625
115,1011.0,397.5,1.5957691216057308,1273.4332275390625
116,1872.0,399.0,2.5854414729132054,3386.238525390625
117,536.0,399.0,1.2615662610100802,665.777099609375
118,648.5,403.3157894736842,3.477898169151024,6500.87890625
119,1720.5,401.0,1.5957691216057308,1408.1671142578125
120,1248.0,406.0,1.2615662610100802,212.3136749267578
121,2056.0,405.0,1.2615662610100802,218.44119262695312
122,935.0,420.0,1.2615662610100802,513.2360229492188
123,59.0,424.0,1.2615662610100802,728.024169921875
124,966.0,428.0,1.2615662610100802,635.680908203125
125,939.0,430.0,1.2615662610100802,233.564453125
126,178.5,448.5,1.9544100476116797,1495.6834716796875
127,996.575,453.2125,5.046265044040321,11429.09375
128,1289.5,460.5,3.1915382432114616,5782.6669921875
129,1439.0,461.5,2.111004122822376,2135.14306640625
130,544.0,468.5,1.5957691216057308,1155.9443359375
131,393.0,472.0,1.2615662610100802,698.587158203125
132,1206.0,472.0,1.2615662610100802,291.9398498535156
133,546.5,477.0,2.256758334191025,2994.2470703125
134,914.0,479.0,1.2615662610100802,616.995361328125
135,522.5,482.5,1.9544100476116797,2154.869873046875
136,192.0,484.5,1.5957691216057308,1219.0130615234375
137,481.34615384615387,491.34615384615387,2.876813695875796,4445.48046875
138,662.0,490.0,1.2615662610100802,279.88299560546875
139,2021.0,491.0,1.2615662610100802,236.00924682617188
140,1530.0,494.0,1.2615662610100802,529.823486328125
141,1605.3,493.85,2.5231325220201604,3413.75048828125
142,1759.0,495.0,1.2615662610100802,787.3160400390625
143,382.0,505.0,1.2615662610100802,172.29254150390625
144,1064.0,514.0,1.2615662610100802,534.4620971679688
145,108.5,517.5,1.9544100476116797,2205.77197265625
146,1593.3,520.7,1.7841241161527712,1558.5391845703125
147,733.0,524.0,1.2615662610100802,612.5694580078125
148,1947.0,523.0,1.2615662610100802,459.48712158203125
149,775.0,529.0,1.2615662610100802,361.99957275390625
150,219.0,535.0,1.2615662610100802,576.8792724609375
151,1953.3,537.7,1.7841241161527712,1768.6810302734375
152,141.0,544.0,1.2615662610100802,373.6942443847656
153,738.5,544.5,1.9544100476116797,1870.858154296875
154,1634.0,548.0,1.2615662610100802,166.9366455078125
155,1767.0,547.0,1.2615662610100802,132.65286254882812
156,893.6125,553.0,5.046265044040321,12368.1953125
157,750.0,556.0,1.2615662610100802,230.15286254882812
158,1701.0,555.0,1.2615662610100802,239.7917022705078
159,251.0,560.0,1.2615662610100802,217.04324340820312
160,569.5,569.0,2.256758334191025,2814.719970703125
161,1171.4444444444443,571.7283950617284,5.077706251929807,11661.8896484375
162,1113.5,576.0,1.5957691216057308,880.66943359375
163,772.6470588235294,580.0,2.326213245840639,2656.6103515625
164,393.0,582.0,1.2615662610100802,371.298095703125
165,1551.0,585.0,2.5854414729132054,3668.746337890625
